Sample_ID,Genotype,Drought_Stage,Treatment,f__Aspergillaceae,f__Bionectriaceae,f__Botryosphaeriaceae,f__Chaetomiaceae,f__Chytridiomycota_fam_Incertae_sedis,f__Cladosporiaceae,f__Coniochaetaceae,f__Fungi_fam_Incertae_sedis,f__Glomosporiaceae,f__Hoehnelomycetaceae,f__Hypocreaceae,f__Hypocreales_fam_Incertae_sedis,f__Lentitheciaceae,f__Magnaporthaceae,f__Massarinaceae,f__Microascaceae,f__Nectriaceae,f__Ophiocordycipitaceae,f__Periconiaceae,f__Pleosporaceae,f__Pleosporales_fam_Incertae_sedis,f__Pseudeurotiaceae,f__Rozellomycota_fam_Incertae_sedis,f__Sakaguchiaceae,f__Spizellomycetaceae,f__Sporormiaceae,f__Stachybotryaceae,f__Torulaceae,f__Trichomeriaceae,f__Trimorphomycetaceae,f__Ustilaginaceae
P11,UCR369,V2-Stage,Drought,0.007458783,0.00E+00,0.00E+00,0.00472996,2.62E-04,0.000568505,0.00E+00,0.96214895,0.00E+00,0.00E+00,0.00E+00,2.27E-05,9.10E-04,0.00E+00,0.00E+00,0.00E+00,0.009744173,0.007697555,0.00E+00,1.59E-04,2.27E-05,0.00E+00,0.00E+00,0.00E+00,1.14E-03,3.30E-04,4.55E-05,0.00E+00,3.65E-03,0.00E+00,0.00E+00
P12,UCR369,V2-Stage,Drought,0.000645027,0.00E+00,0.00E+00,0.001279122,0.00E+00,0,0.00E+00,0.99549574,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.002000678,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P13,UCR369,V2-Stage,Control,0.035229718,1.75E-04,1.01E-03,0.026562646,7.74E-03,0.021825583,7.02E-05,0.8667423,8.07E-04,0.00E+00,0.00E+00,2.30E-03,1.12E-03,0.00E+00,0.00E+00,9.36E-05,0.005263404,0.000479555,0.00E+00,1.56E-03,0.00E+00,0.00E+00,9.36E-05,0.00E+00,3.74E-03,1.64E-04,1.11E-02,7.02E-05,5.85E-05,0.00E+00,1.05E-04
P14,UCR369,V2-Stage,Control,0.050639135,4.79E-04,1.81E-04,0.037701185,2.44E-02,0.004748228,7.63E-04,0.83440718,5.18E-05,0.00E+00,0.00E+00,2.46E-04,4.11E-03,0.00E+00,5.18E-05,3.62E-04,0.008551985,0.000491642,2.07E-04,3.11E-04,3.23E-04,7.37E-04,1.94E-04,0.00E+00,2.13E-03,9.28E-03,3.05E-03,7.89E-04,7.37E-04,1.42E-04,0.00E+00
P15,UCR369,V2-Stage,Drought,0.007747208,0.00E+00,2.65E-04,0.001936802,1.43E-03,0,9.29E-05,0.9696214,0.00E+00,0.00E+00,0.00E+00,1.06E-04,1.59E-04,0.00E+00,0.00E+00,0.00E+00,0.010506487,0,0.00E+00,1.86E-04,7.83E-04,5.31E-05,0.00E+00,0.00E+00,2.52E-04,0.00E+00,5.32E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P16,UCR369,V2-Stage,Drought,0.000963579,0.00E+00,0.00E+00,0.017448598,5.21E-05,0,0.00E+00,0.77802518,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.202911572,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.51E-05,0.00E+00,2.60E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P17,ES4,V4-Stage,Control,0.318658705,0.00E+00,0.00E+00,0.050958748,4.28E-02,0.000939716,4.04E-04,0.41312985,2.85E-04,0.00E+00,1.31E-04,1.33E-03,7.14E-05,2.74E-04,0.00E+00,0.00E+00,0.011954608,0.000249798,0.00E+00,1.31E-04,2.38E-05,0.00E+00,2.38E-04,3.45E-04,3.57E-04,1.43E-04,7.14E-05,1.78E-04,1.55E-04,3.57E-05,2.02E-04
P18,ES4,V4-Stage,Control,0.109668294,8.12E-05,0.00E+00,0.039164763,1.40E-03,0.000486951,8.12E-05,0.82822228,2.68E-03,0.00E+00,0.00E+00,1.28E-03,1.62E-04,0.00E+00,0.00E+00,0.00E+00,0.00199418,0.007744838,0.00E+00,1.04E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.43E-04,3.13E-04,2.64E-03,0.00E+00,3.48E-05,1.28E-04,0.00E+00
P19,ES4,V4-Stage,Control,0.012334553,0.00E+00,2.41E-04,0.003657399,2.27E-03,0.001854899,1.47E-04,0.94565252,0.00E+00,0.00E+00,0.00E+00,1.63E-03,8.38E-04,3.46E-04,0.00E+00,0.00E+00,0.011831529,0.002054012,0.00E+00,9.75E-04,0.00E+00,2.20E-04,0.00E+00,0.00E+00,1.53E-03,1.68E-04,2.82E-03,0.00E+00,8.38E-05,0.00E+00,0.00E+00
P21,ES4,V4-Stage,Drought,0.097485714,6.86E-05,0.00E+00,0.002994286,1.34E-02,0.004971429,1.14E-04,0.84488,5.67E-03,0.00E+00,1.03E-04,8.45E-03,2.29E-03,6.74E-04,0.00E+00,0.00E+00,0.008982857,0.001302857,0.00E+00,4.00E-04,6.86E-05,0.00E+00,6.29E-04,2.51E-04,1.83E-04,5.71E-05,0.00E+00,0.00E+00,6.06E-04,1.03E-04,0.00E+00
P22,ES4,V4-Stage,Control,0.019925081,2.22E-04,1.75E-02,0.023473889,6.70E-02,0.000554501,2.46E-05,0.80894349,1.11E-02,0.00E+00,0.00E+00,5.30E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.018791434,0.000751657,0.00E+00,1.11E-03,1.11E-04,0.00E+00,0.00E+00,0.00E+00,2.46E-04,0.00E+00,4.93E-05,0.00E+00,0.00E+00,0.00E+00,4.93E-05
P23,ES4,V4-Stage,Drought,0.009816236,2.26E-02,4.84E-03,0.004171513,2.42E-03,0.019198263,1.40E-04,0.01684113,1.66E-03,1.77E-03,0.00E+00,3.40E-02,7.75E-04,0.00E+00,6.20E-04,0.00E+00,0.239823215,0.000651314,0.00E+00,2.64E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.30E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P24,ES4,V4-Stage,Drought,0.020987423,3.86E-04,1.65E-03,0.018738771,8.90E-03,0.003439116,3.31E-04,0.90049713,0.00E+00,0.00E+00,6.61E-05,1.79E-03,2.17E-03,1.07E-03,0.00E+00,0.00E+00,0.007076642,0.000143297,1.87E-04,1.12E-03,3.75E-04,0.00E+00,0.00E+00,0.00E+00,1.60E-03,2.54E-04,1.94E-03,0.00E+00,5.07E-04,0.00E+00,0.00E+00
P25,UCR369,V4-Stage,Control,0.012198761,0.00E+00,7.16E-05,0.008009167,1.41E-02,0.000346149,1.91E-04,0.95824729,0.00E+00,0.00E+00,5.97E-05,1.31E-04,7.28E-04,0.00E+00,0.00E+00,3.58E-05,0.002423042,0,0.00E+00,0.00E+00,3.58E-05,0.00E+00,0.00E+00,0.00E+00,1.24E-03,1.31E-04,1.31E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P26,UCR369,V4-Stage,Drought,0.088813534,8.23E-04,7.48E-05,0.029758269,2.58E-02,0.003503173,2.66E-03,0.77669455,1.12E-04,0.00E+00,4.11E-04,1.39E-02,4.24E-04,0.00E+00,0.00E+00,3.37E-04,0.005709798,0.001520951,1.37E-04,1.68E-03,5.86E-04,1.05E-03,1.37E-04,0.00E+00,8.55E-03,1.02E-03,1.18E-03,1.62E-04,9.23E-04,1.25E-04,2.49E-04
P27,UCR369,V4-Stage,Control,0.016031877,0.00E+00,0.00E+00,0.006676065,1.49E-02,0.000407788,1.37E-03,0.94019504,0.00E+00,9.32E-05,4.78E-04,4.54E-04,0.00E+00,6.41E-04,0.00E+00,5.94E-04,0.006396439,0.001281618,5.83E-05,3.96E-04,3.38E-04,5.48E-04,1.28E-04,0.00E+00,2.68E-03,1.08E-03,4.31E-04,0.00E+00,1.17E-04,6.99E-05,0.00E+00
P28,UCR369,V4-Stage,Drought,0.167061717,0.00E+00,0.00E+00,0.052902136,2.16E-02,0.008044206,1.16E-03,0.65352138,5.33E-04,3.11E-04,3.56E-04,8.41E-03,1.73E-03,5.04E-04,0.00E+00,1.33E-03,0.009984889,0.001274036,0.00E+00,1.56E-03,8.89E-04,1.91E-03,1.90E-03,8.89E-05,2.71E-02,2.53E-03,9.63E-04,1.45E-03,4.30E-04,2.37E-04,0.00E+00
P29,UCR369,V4-Stage,Control,0.002115077,0.00E+00,0.00E+00,0.000452479,4.80E-03,0,0.00E+00,0.98775149,2.34E-03,0.00E+00,0.00E+00,7.05E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.000242024,0,0.00E+00,8.42E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.21E-05,0.00E+00,0.00E+00,0.00E+00,1.89E-04
P30,UCR369,V4-Stage,Drought,0.003108776,0.00E+00,3.14E-05,0.006228019,1.20E-03,0.000376821,0.00E+00,0.97436568,3.04E-04,0.00E+00,6.28E-05,5.86E-04,1.26E-04,0.00E+00,0.00E+00,0.00E+00,0.010278848,0,0.00E+00,3.87E-04,5.23E-05,0.00E+00,0.00E+00,0.00E+00,9.42E-05,4.19E-05,4.29E-04,0.00E+00,1.36E-04,0.00E+00,0.00E+00
P31,UCR369,V4-Stage,Control,0.062622629,6.12E-03,8.18E-05,0.054038587,6.35E-02,0.003711576,0.00E+00,0.5794964,6.26E-03,2.62E-04,0.00E+00,3.83E-03,2.62E-04,3.60E-04,0.00E+00,0.00E+00,0.051013735,0.00264879,0.00E+00,5.72E-04,0.00E+00,0.00E+00,8.18E-05,1.47E-04,7.85E-04,0.00E+00,2.09E-03,4.58E-04,2.13E-04,8.18E-05,1.01E-02
P32,UCR369,V4-Stage,Drought,0.09782486,0.00E+00,3.39E-04,0.015699938,5.46E-02,0.010706427,0.00E+00,0.64548891,3.87E-03,1.13E-04,1.97E-04,4.98E-03,3.54E-03,0.00E+00,1.13E-04,0.00E+00,0.123511821,0.001509338,0.00E+00,4.75E-03,1.31E-03,0.00E+00,0.00E+00,9.87E-05,2.43E-03,0.00E+00,2.60E-03,0.00E+00,0.00E+00,0.00E+00,3.81E-04
P33,ES4,R1-Stage,Control,0.217625093,3.33E-04,5.74E-05,0.003274545,2.04E-02,0.004320101,0.00E+00,0.72924685,2.30E-04,4.60E-04,0.00E+00,1.77E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.011914747,0.001631528,0.00E+00,0.00E+00,0.00E+00,9.19E-05,1.38E-04,7.47E-04,0.00E+00,6.89E-05,1.75E-03,0.00E+00,0.00E+00,3.45E-05,1.95E-04
P34,ES4,R1-Stage,Control,0.081472414,3.34E-04,0.00E+00,0.00850706,1.56E-02,0.01781784,1.73E-04,0.82342904,2.73E-03,0.00E+00,0.00E+00,1.28E-02,0.00E+00,0.00E+00,3.71E-05,0.00E+00,0.011882682,0.001817642,0.00E+00,1.48E-04,0.00E+00,3.46E-04,3.71E-05,0.00E+00,7.42E-05,0.00E+00,8.53E-04,9.89E-05,0.00E+00,4.95E-05,1.85E-04
P35,ES4,R1-Stage,Drought,0.52492025,4.36E-03,5.87E-04,0.002654077,1.61E-03,0.004631874,0.00E+00,0.30806431,0.00E+00,0.00E+00,0.00E+00,3.28E-03,3.70E-04,0.00E+00,0.00E+00,0.00E+00,0.147556463,0,0.00E+00,1.91E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.66E-04,6.38E-05,6.64E-04,0.00E+00,0.00E+00,0.00E+00,3.83E-05
P36,ES4,R1-Stage,Drought,0.059385011,2.40E-03,8.53E-04,0.001628066,8.53E-04,0.001260438,1.31E-04,0.54461425,4.46E-04,0.00E+00,0.00E+00,1.29E-03,1.30E-03,0.00E+00,8.67E-04,0.00E+00,0.375584266,0.000919069,0.00E+00,2.56E-03,2.89E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E-03,1.84E-04,9.19E-05,3.94E-05,3.54E-04
P37,ES4,R1-Stage,Drought,0.004542491,3.63E-02,0.00E+00,0.002674654,7.63E-04,0.003801987,7.74E-05,0.90270671,1.29E-03,0.00E+00,3.98E-04,1.01E-03,0.00E+00,1.99E-04,2.87E-04,0.00E+00,0.040595055,0.001072072,2.21E-05,4.09E-04,1.33E-04,1.22E-04,2.87E-04,0.00E+00,1.99E-04,1.22E-04,4.53E-04,0.00E+00,5.08E-04,0.00E+00,5.53E-05
P38,ES4,R1-Stage,Drought,0.058132189,6.72E-02,4.57E-04,0.00592541,7.84E-04,0.005565964,4.36E-05,0.77162121,5.45E-05,0.00E+00,8.71E-05,3.14E-03,1.52E-04,0.00E+00,5.66E-04,0.00E+00,0.081310997,0.000838707,0.00E+00,1.39E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-03,0.00E+00,4.90E-04,0.00E+00,1.96E-04,0.00E+00,0.00E+00
P39,ES4,R1-Stage,Control,0.064450313,1.77E-03,0.00E+00,0.005973499,4.62E-03,0.01238906,1.13E-04,0.82203054,1.13E-03,0.00E+00,0.00E+00,2.53E-03,9.41E-04,6.35E-04,1.13E-04,1.47E-04,0.035149564,0.035931673,6.46E-04,6.57E-04,3.40E-05,2.95E-04,1.25E-03,0.00E+00,2.04E-04,1.02E-04,3.34E-03,1.25E-04,4.53E-04,0.00E+00,1.25E-04
P40,ES4,R1-Stage,Control,0.096509884,2.00E-03,0.00E+00,0.079916888,3.24E-02,0.023796689,7.55E-04,0.56282894,2.28E-03,0.00E+00,1.04E-03,4.60E-03,1.19E-03,2.94E-04,1.18E-04,2.16E-04,0.025521655,0.011447501,6.86E-05,4.60E-02,2.94E-04,1.26E-03,2.06E-04,8.82E-05,3.84E-03,1.99E-03,2.47E-03,2.16E-04,1.96E-04,1.47E-04,6.47E-04
P41,UCR369,R1-Stage,Control,0.005739546,4.08E-03,0.00E+00,0.011597923,5.35E-04,0.003909546,3.56E-05,0.89856571,0.00E+00,0.00E+00,1.16E-03,7.85E-03,5.94E-04,0.00E+00,0.00E+00,0.00E+00,0.055636757,0.003588702,0.00E+00,2.02E-04,0.00E+00,0.00E+00,0.00E+00,2.38E-05,8.32E-05,9.74E-04,3.64E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P42,UCR369,R1-Stage,Drought,0.382752737,1.85E-03,2.10E-03,0.017560074,6.82E-04,0.002857955,5.55E-04,0.50956917,0.00E+00,7.11E-05,0.00E+00,2.13E-04,5.40E-04,1.71E-04,1.22E-03,0.00E+00,0.062334708,0.001663586,1.56E-04,3.03E-03,0.00E+00,0.00E+00,0.00E+00,1.42E-04,1.56E-04,1.28E-04,7.95E-03,2.84E-04,0.00E+00,4.98E-04,2.37E-03
P43,UCR369,R1-Stage,Control,0.023689302,1.53E-04,1.89E-04,0.004518428,3.65E-03,0.002147138,1.18E-04,0.94976641,1.17E-03,0.00E+00,0.00E+00,1.53E-04,5.07E-04,0.00E+00,0.00E+00,0.00E+00,0.004447643,0.000176962,0.00E+00,2.48E-04,0.00E+00,0.00E+00,0.00E+00,3.30E-04,1.95E-03,7.08E-05,1.03E-03,0.00E+00,8.26E-05,0.00E+00,5.90E-04
P44,UCR369,R1-Stage,Control,0.272251827,0.00E+00,5.93E-04,0.02084544,2.51E-02,0.007999407,1.85E-04,0.51219693,2.84E-03,0.00E+00,2.10E-04,3.33E-03,1.73E-04,0.00E+00,0.00E+00,0.00E+00,0.017890481,0.000581101,0.00E+00,1.48E-04,4.95E-05,2.60E-04,6.31E-04,0.00E+00,1.90E-03,0.00E+00,5.69E-04,6.68E-04,0.00E+00,8.65E-05,1.01E-03
P45,UCR369,R1-Stage,Control,0.014885492,2.29E-05,3.67E-04,0.002098648,4.51E-02,0.000802762,9.17E-05,0.84864505,9.17E-03,0.00E+00,0.00E+00,5.34E-03,1.38E-04,3.44E-05,0.00E+00,0.00E+00,0.004139956,0.001227078,3.44E-05,2.75E-03,0.00E+00,1.49E-04,0.00E+00,8.03E-05,3.10E-04,0.00E+00,2.42E-02,6.88E-05,0.00E+00,0.00E+00,2.33E-03
P46,UCR369,R1-Stage,Drought,0.130105443,0.00E+00,2.06E-04,0.007547325,6.98E-03,0.003120661,1.24E-04,0.74431201,4.14E-03,0.00E+00,1.28E-03,3.57E-04,6.19E-04,0.00E+00,2.19E-03,0.00E+00,0.071514002,0.001127287,1.65E-04,1.59E-03,1.37E-04,0.00E+00,1.10E-04,1.92E-04,9.62E-05,0.00E+00,1.15E-02,0.00E+00,0.00E+00,0.00E+00,3.71E-04
P47,UCR369,R1-Stage,Drought,0.031826143,2.07E-03,7.03E-04,0.036020465,2.02E-03,0.010001844,0.00E+00,0.87714325,5.15E-03,4.84E-04,1.35E-03,1.07E-03,1.82E-03,1.23E-03,1.08E-03,0.00E+00,0.021824299,0.001025535,6.80E-04,1.41E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.42E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E-04,8.76E-04
P48,UCR369,R1-Stage,Drought,0.038346223,1.27E-02,2.32E-02,0.003783462,9.52E-04,0.012076145,0.00E+00,0.81627603,0.00E+00,0.00E+00,5.95E-05,1.12E-02,6.07E-04,1.55E-04,9.76E-04,0.00E+00,0.056287924,0.001415824,0.00E+00,1.55E-03,0.00E+00,2.26E-04,0.00E+00,1.07E-04,1.43E-04,0.00E+00,1.17E-02,0.00E+00,7.50E-04,0.00E+00,1.43E-04
P49,ES4,R4-Stage,Control,0.031360555,1.15E-03,1.37E-04,0.010225276,1.56E-02,0.001666172,2.28E-05,0.78766576,1.03E-04,1.03E-04,4.11E-04,1.23E-03,2.85E-04,0.00E+00,0.00E+00,0.00E+00,0.112432383,0.001312396,0.00E+00,2.62E-04,0.00E+00,7.99E-05,3.54E-04,0.00E+00,2.62E-04,0.00E+00,1.56E-02,7.42E-04,2.28E-04,0.00E+00,0.00E+00
P50,ES4,R4-Stage,Control,0.001707354,0.00E+00,0.00E+00,0.001932005,3.87E-02,0.002066797,0.00E+00,0.907743,0.00E+00,0.00E+00,0.00E+00,5.09E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.032319904,0,0.00E+00,1.95E-04,0.00E+00,1.05E-04,0.00E+00,0.00E+00,4.94E-04,0.00E+00,2.11E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P51,ES4,R4-Stage,Drought,0.070549805,1.41E-01,6.88E-04,0.001952416,3.20E-03,0.003767162,0.00E+00,0.43125868,1.98E-03,3.75E-05,2.25E-03,2.18E-03,2.13E-03,0.00E+00,1.61E-03,0.00E+00,0.299946183,0,3.75E-05,2.03E-03,1.88E-04,6.26E-05,0.00E+00,1.13E-04,0.00E+00,0.00E+00,8.56E-03,0.00E+00,2.38E-03,0.00E+00,1.88E-04
P52,ES4,R4-Stage,Drought,0.004313871,1.50E-03,5.53E-04,0.002348191,2.26E-03,0.000988153,0.00E+00,0.5138182,0.00E+00,5.31E-05,0.00E+00,9.88E-04,7.97E-04,3.19E-05,8.50E-05,0.00E+00,0.466535621,0,0.00E+00,0.00E+00,0.00E+00,1.91E-04,0.00E+00,0.00E+00,1.34E-03,1.17E-04,1.11E-03,0.00E+00,0.00E+00,5.31E-05,0.00E+00
P53,ES4,R4-Stage,Drought,0.05687762,2.57E-02,1.84E-03,0,1.77E-03,0.0031662,0.00E+00,0.65416229,6.46E-04,4.43E-04,0.00E+00,2.00E-03,7.85E-04,3.67E-04,0.00E+00,0.00E+00,0.248002128,0,0.00E+00,1.39E-04,1.90E-04,0.00E+00,6.33E-05,0.00E+00,5.07E-05,0.00E+00,2.53E-03,0.00E+00,2.41E-04,0.00E+00,0.00E+00
P54,ES4,R4-Stage,Control,0.176645327,1.49E-02,0.00E+00,0.005710752,6.43E-04,0.093930356,6.06E-05,0.59494883,0.00E+00,0.00E+00,2.06E-04,6.71E-02,9.70E-05,6.06E-05,0.00E+00,8.49E-05,0.042218342,0.001709588,0.00E+00,8.49E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.18E-04,0.00E+00,8.49E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P55,ES4,R4-Stage,Drought,0.014665222,1.16E-01,9.70E-05,0.038756932,4.79E-02,0.008569535,1.46E-04,0.63070157,4.85E-04,1.62E-04,4.28E-03,7.44E-04,0.00E+00,0.00E+00,0.00E+00,2.26E-04,0.113683768,0,0.00E+00,5.50E-04,1.78E-04,3.23E-04,1.46E-03,0.00E+00,3.80E-03,0.00E+00,1.12E-03,3.88E-04,0.00E+00,1.62E-04,0.00E+00
P56,ES4,R4-Stage,Control,0.021171529,1.02E-01,0.00E+00,0.001895788,2.17E-03,0.001952549,2.50E-04,0.80371211,3.29E-04,0.00E+00,0.00E+00,1.91E-03,2.16E-04,0.00E+00,0.00E+00,0.00E+00,0.033136565,0.002054717,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.54E-05,1.82E-03,0.00E+00,1.48E-04,7.95E-05,7.95E-05
P57,UCR369,R4-Stage,Drought,0.031949556,1.17E-04,2.53E-03,0.01261105,8.66E-03,0.00113687,7.03E-05,0.90786667,7.97E-04,0.00E+00,0.00E+00,6.21E-04,5.34E-03,2.17E-03,6.68E-04,0.00E+00,0.01681864,0.000996226,0.00E+00,1.13E-03,1.39E-03,0.00E+00,2.34E-05,0.00E+00,3.87E-04,0.00E+00,0.00E+00,1.52E-04,8.79E-04,1.29E-04,7.03E-05
P58,UCR369,R4-Stage,Control,0.004334117,5.90E-05,9.45E-05,0.001665151,2.72E-04,0.00083848,0.00E+00,0.98561593,0.00E+00,0.00E+00,0.00E+00,4.13E-04,5.55E-04,0.00E+00,0.00E+00,0.00E+00,0.000885719,0.00028343,0.00E+00,2.01E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E-03,0.00E+00,7.09E-05,0.00E+00,0.00E+00
